Object,X,Y,Z,Vx,Vy,Vz
Mercury,0.3572602064472754,-0.09154904243051842,-0.08598103998694037,0.0033678456621937854,0.02488934284224929,0.012944071586795967
Venus,0.6082494331856041,-0.34913244319590053,-0.19554434578540694,0.010952420109908838,0.01561250673986247,0.006328876451746665
EM Bary,0.11601490913916648,-0.9266055536403852,-0.40180627760698806,0.01681162005220229,0.0017431316879820316,0.0007559737671361461
Mars,-0.1146885824390927,-1.3283665308334882,-0.6061551894193808,0.014482004807944747,0.00023728549236071137,-0.000283749836102397
Jupiter,-5.384209406992146,-0.8312476561610839,-0.2250947570335499,0.0010923632912184977,-0.0065232941911922675,-0.002823012267219439
Saturn,7.889889933822818,4.595710726926013,1.5584315167250897,-0.0032172034910936636,0.004330632233555691,0.0019264174637994528
Uranus,-18.269900814978268,-1.1627115802190469,-0.25036954074255485,0.00022154016562741063,-0.0037676535582461617,-0.0016532438049223935
Neptune,-16.059545091924463,-23.942948290879503,-9.400422780354008,0.0026431227915765616,-0.0015034920807587946,-0.0006812710048723478
Pluto,-30.487822112155552,-0.8732454301967293,8.911296984184755,0.00032256219593323327,-0.0031487479275516053,-0.0010801779315936957
Sun,0.004502508845301258,0.0007670734814646406,0.0002660563278120356,-3.5174423541454e-07,5.17762777222281e-06,2.22910220557907e-06
Moon,-0.0008081773279114842,-0.0019946300016203994,-0.0010872626608381018,0.0006010848166591299,-0.00016744546061515147,-8.556214497398616e-05
